"Title","Developer(s)","Publisher(s)","Regions released","","","Ref."
"Grand Slam","Burst Studios","Virgin Interactive","Unreleased","Unreleased","April 10, 1997",""
"Grand Theft Auto","DMA Design","BMG Interactive, ASC Games","April 27, 1999","December 12, 1997","June 30, 1998",""
"Grand Theft Auto 2","DMA Design","Rockstar Games","Unreleased","October 22, 1999","November 10, 1999",""
"Grand Theft Auto: London 1969 (Expansion)","Rockstar Canada","Rockstar Games","Unreleased","April 29, 1999","April 2, 1999",""
"Grandia","Game Arts","Ubisoft","June 24, 1999","March 31, 2000","October 26, 1999",""
"Granyuu-shima! Daibouken","Shuwa System","Shuwa System","October 15, 1998","Unreleased","Unreleased",""
"The Granstream Saga•Granstream Denki: The Granstream SagaJP","Shade","SCEIJP, THQNA, ARC EntertainmentPAL","November 6, 1997","February 26, 1999","June 30, 1998",""
"The Great Battle VI","Aspect","Banpresto","April 11, 1997","Unreleased","Unreleased",""
"Great Hits","Enix Corporation","Enix Corporation","October 29, 1998","Unreleased","Unreleased",""
"Grid Runner•Grid RunPAL","Radical Entertainment","Virgin Interactive","Unreleased","June 1997","October 15, 1996",""
"Grille Logic","Shoeisha","Shoeisha","January 26, 1996","Unreleased","Unreleased",""
"The Grinch","Artificial Mind and Movement","Konami","Unreleased","December 8, 2000","October 26, 2000",""
"Grind Session","Shaba Games","SCEA","Unreleased","August 25, 2000","May 23, 2000",""
"Gritz: The Primordial Adventure","Sanyo","Sanyo","May 30, 1997","Unreleased","Unreleased",""
"Groove Adventure Rave: Mikan no Hiseki","WinkySoft","Konami","August 29, 2002","Unreleased","Unreleased",""
"Groove Adventure Rave: Plue no Daibouken","Aspect","Konami","July 25, 2002","Unreleased","Unreleased",""
"Groove Adventure Rave: Yuukyuu no Kizuna","Konami","Konami","January 31, 2002","Unreleased","Unreleased",""
"Growlanser","Career Soft","Atlus","November 25, 1999","Unreleased","Unreleased",""
"Grudge Warriors","Take-Two Interactive","Tempest Software","Unreleased","Unreleased","May 3, 2000",""
"GT Kai: All Japan Grand Touring Car Championship","Kaneko","Kaneko","February 23, 1996","Unreleased","Unreleased",""
"GT Max Rev.: All Japan Grand Touring Car Championship","Kaneko","Kaneko","February 28, 1997","Unreleased","Unreleased",""
"The Guardian of Darkness","Cryo Interactive","Cryo Interactive","Unreleased","1999","Unreleased",""
"Guardian Recall","Tsuji Jimusho","Xing","October 1, 1998","Unreleased","Unreleased",""
"Guardian's Crusade","Tamsoft","TamsoftJP, ActivisionPAL,NA","September 23, 1998","March 29, 1999","March 1, 1999",""
"Gubble","Mad Duck Productions","Mad Duck Productions, Midas Interactive Entertainment","September 17, 1998","April 12, 2001","June 15, 2002",""
"Guilty Gear","Arc System Works","Atlus","May 14, 1998","May 2000","November 12, 1998",""
"Guitar Freaks","Konami","Konami","July 29, 1999","Unreleased","Unreleased",""
"Guitar Freaks Append 2nd Mix","Konami","Konami","February 24, 2000","Unreleased","Unreleased",""
"GunBare! Game Tengoku 2","Jaleco Entertainment","Jaleco Entertainment","March 19, 1998","Unreleased","Unreleased",""
"Gundam 0079: The War for Earth","Presto Studios","Bandai","May 2, 1997","Unreleased","Unreleased",""
"Gundam: Battle AssaultGundam: The Battle Master 2JP","Natsume Co., Ltd.","Bandai","March 12, 1998","December 7, 2001","November 6, 2000",""
"Gundam: Battle Assault 2Simple Characters 2000 Series Vol. 12: Mobile Fighter G Gundam - The BattleJPSimple Characters 2000 Series Vol. 13: New Mobile Report Gundam Wing - The BattleJP","Natsume Co., Ltd.","Bandai","October 10, 2002","November 29, 2002","July 18, 2002",""
"Gundam: The Battle Master","Natsume Co., Ltd.","Bandai","June 22, 1997","Unreleased","Unreleased",""
"GunDress","Starfish","Starfish","February 24, 2000","Unreleased","Unreleased",""
"Gunfighter: The Legend of Jesse James","Rebellion Developments","Ubisoft","Unreleased","December 7, 2001","November 18, 2001",""
"Gung Ho Brigade","Tomy Corporation","Tomy Corporation","October 19, 2000","Unreleased","Unreleased",""
"Gungage","KCET","Konami","June 3, 1999","September 24, 1999","Unreleased",""
"Gunnm: Martian Memory","Yukito Products","Banpresto","August 27, 1998","Unreleased","Unreleased",""
"Gunparade March","Alfa System","SCEI","September 28, 2000","Unreleased","Unreleased",""
"Gunpey","TOSE","Bandai","December 16, 1999","Unreleased","Unreleased",""
"Gunship","MicroProse","MicroProse","Unreleased","June 1996","July 3, 1996",""
"Guntu Western Front June, 1944","Electrocoin Japan Co., Ltd.","Electrocoin Japan Co., Ltd.","November 27, 1997","Unreleased","Unreleased",""
"Guruguru Town Hanamarukun","Atlus","Atlus","December 14, 2000","Unreleased","Unreleased",""
"Gussun Oyoyo","Xing Entertainment","Xing Entertainment","April 28, 1995","Unreleased","Unreleased",""
"Gute Zeiten Schlechte Zeiten Quiz","Software 2000","Software 2000","Unreleased","June 21, 2000","Unreleased",""
"Gute Zeiten Schlechte Zeiten Vol.2","Software 2000","Software 2000","Unreleased","June 21, 2000","Unreleased",""
"Gute Zeiten Schlechte Zeiten Vol.3","Software 2000","Software 2000","Unreleased","December 27, 2000","Unreleased",""
"Guucho de Park: Theme Park Monogatari","Make","Electronic Arts Victor","December 13, 1996","Unreleased","Unreleased",""
"Hai-Shin 2","Aques","Aques","March 26, 1998","Unreleased","Unreleased","[66]"
"Hajime no Ippo: The Fighting!","Kodansha","Kodansha","July 31, 1997","Unreleased","Unreleased",""
"Hakai Ou: King of Crusher","FAB Communications","FAB Communications","November 12, 1998","Unreleased","Unreleased",""
"Hamster Club i","Jorudan","Jorudan","February 28, 2002","Unreleased","Unreleased",""
"Hamster Monogatari","Culture Brain","Culture Brain","December 21, 2000","Unreleased","Unreleased",""
"Hamster no Odaken","Shimada Kikaku","Kaga Tech","February 22, 2001","Unreleased","Unreleased",""
"Hana to Ryuu","I'Max","I'Max","August 13, 1998","Unreleased","Unreleased",""
"Hanabi Fantast","Magical Company","Magical Company","July 16, 1998","Unreleased","Unreleased",""
"Hanafuda","Selen","Selen","January 24, 2002","Unreleased","Unreleased",""
"Hanafuda (Hyper Value 2800)","Konami","Konami","January 13, 2000","Unreleased","Unreleased",""
"Hanafuda & Card Game","Yuki","DigiCube","January 24, 2002","Unreleased","Unreleased",""
"Hanafuda Graffiti: Koi Koi Monogatari","I'Max","I'Max","May 10, 1996","Unreleased","Unreleased",""
"Hanafuda II","Success","Success","October 28, 1999","Unreleased","Unreleased",""
"Hanafuda Real 3D","Pony Canyon","Pony Canyon","December 10, 1998","Unreleased","Unreleased",""
"Happy Diet","Twilight Express","Twilight Express","April 26, 2001","Unreleased","Unreleased",""
"Happy Hotel","Tohoku Shinsha","Tohoku Shinsha","November 27, 1997","Unreleased","Unreleased",""
"Happy Jogging in Hawaii","Twilight Express","Twilight Express","November 29, 2001","Unreleased","Unreleased",""
"Happy Salvage","Media Works","Media Works","August 31, 2000","Unreleased","Unreleased",""
"Hardball '99","Mindspan","Accolade","Unreleased","Unreleased","October 15, 1998",""
"HardBall 5","SPS","SPSJP, AccoladeNA","December 13, 1996","Unreleased","April 15, 1996",""
"Hard Blow","Electronic Arts Victor","Electronic Arts Victor","July 31, 1997","Unreleased","Unreleased",""
"Hard Boiled","Cryo Interactive, Sieg","Cryo Interactive, Sieg","July 30, 1998","October 1997","Unreleased",""
"Hard Rock Cab","Asmik Ace","Asmik Ace","February 16, 1996","Unreleased","Unreleased",""
"Harlem Beat: You're the One","Konami","Konami","October 28, 1999","Unreleased","Unreleased",""
"Harmful Park","Sky Think Systems","Sky Think Systems","February 14, 1997","Unreleased","Unreleased",""
"Harry Potter and the Chamber of Secrets","Argonaut Games","EA Games, Electronic Arts, Electronic Arts Victor","November 23, 2002","November 15, 2002","November 15, 2002",""
"Harry Potter and the Sorcerer's Stone•Harry Potter and the Philosopher's StoneJP,PAL","Argonaut Games","Electronic Arts, Electronic Arts Victor","December 1, 2001","November 16, 2001","November 16, 2001",""
"Harukanaru Toki no Naka De","Koei","Koei","April 6, 2000","Unreleased","Unreleased",""
"Harukanaru Toki no Naka de: Banjyou Yuugi","Koei","Koei","June 26, 2003","Unreleased","Unreleased",""
"Harukaze Sentai V-Force","Ving","Ving","November 15, 1996","Unreleased","Unreleased","[67]"
"Harvest Moon: Back To Nature","Victor Interactive Software","Victor Interactive Software, Natsume Inc., Ubisoft","December 16, 1999","January 26, 2001","November 17, 2000",""
"Hashiriya: Ookami Tachi no Densetsu","Nihon Bussan","Nihon Bussan","April 18, 1997","Unreleased","Unreleased",""
"Hatsukoi Valentine","Fill-in-Cafe","Family Soft","July 31, 1997","Unreleased","Unreleased",""
"Hatsukoi Valentine Special","Family Softf","Family Soft","November 5, 1998","Unreleased","Unreleased",""
"Haunted Junction: Seitokai Badge wo Oe!","MediaWorks","MediaWorks","January 17, 1997","Unreleased","Unreleased","[68]"
"HBO Boxing","Osiris Studios","Acclaim","Unreleased","February 16, 2001","November 20, 2000","[69]"
"Head to Toe 1","Lightspan","Lightspan","Unreleased","Unreleased","1998",""
"Head to Toe 2","Lightspan","Lightspan","Unreleased","Unreleased","1998",""
"Head to Toe 3","Lightspan","Lightspan","Unreleased","Unreleased","1998",""
"Head to Toe 4","Lightspan","Lightspan","Unreleased","Unreleased","1998",""
"Heart of Darkness","Amazing Studios","Ocean Software, Interplay, Infogrames","Unreleased","July 1998","July 31, 1998",""
"Heaven's Gate •Yusha: Heaven's GatePAL","Atlus","Atlus, JVC Music Europe","December 13, 1996","October 1997","Unreleased",""
"Hebereke's PopoittoPAL•Hebereke Station PopoittoJP","Sunsoft","Sunsoft","May 26, 1995","March 1, 1996","Unreleased",""
"Hei-Sek-Ki-In","Success","GameBank","December 18, 1997","Unreleased","Unreleased",""
"Heisa Byouin","Visit","Visit","April 20, 2000","Unreleased","Unreleased",""
"The Heiwa Otenki Studio","Aqua Rouge","Aqua Rouge","March 29, 2001","Unreleased","Unreleased",""
"Heiwa Pachinko Graffiti Vol. 1","Aqua Rouge","Aqua Rouge","December 9, 1999","Unreleased","Unreleased",""
"Heiwa Pachinko Graffiti Vol. 2","Aqua Rouge","Aqua Rouge","December 9, 1999","Unreleased","Unreleased",""
"Heiwa Parlor! Pro: BunDoriKing Special","Namco","Namco","December 27, 2001","Unreleased","Unreleased",""
"Heiwa Parlor! Pro: Dolphin Ring Special","Telenet","Nippon Telenet","March 30, 2000","Unreleased","Unreleased",""
"Heiwa Parlor! Pro: Fujiko Nio-ma-ka-se Special","Mitsui Bussan","Mitsui Bussan","December 28, 2000","Unreleased","Unreleased",""
"Heiwa Parlor! Pro: Inkappe Taishou Special","Telenet","Nippon Telenet","August 10, 2000","Unreleased","Unreleased",""
"Heiwa Parlor! Pro: Lupin Sansei Special","Telenet","Nippon Telenet","January 13, 2000","Unreleased","Unreleased",""
"Heiwa Parlor! Pro: Tsunatori Monogatari Special","Telenet","Nippon Telenet","March 7, 2002","Unreleased","Unreleased",""
"Heiwa Parlor! Pro: Western Special","Telenet","Nippon Telenet","February 3, 2000","Unreleased","Unreleased",""
"Hellboy: Asylum Seeker","DreamCatcher Interactive","DreamCatcher Interactive, Wanadoo Edition","Unreleased","Unreleased","August 7, 2003",""
"Hellnight•Dark MessiahJP","Atlus Co.","Atlus Co., Konami","June 11, 1998","December 30, 1999","Unreleased",""
"Hello Kitty Block Kuzushi","Tamsoft","D3Publisher","October 25, 2001","Unreleased","Unreleased",""
"Hello Kitty Bowling","Tamsoft","D3Publisher","August 30, 2001","Unreleased","Unreleased",""
"Hello Kitty's Cube Frenzy•Hello Kitty: Cube de CuteJP","Culture Publishers","Culture Publishers, NewKidCo","June 25, 1998","Unreleased","March 30, 1999",""
"Hello Kitty Illust Puzzle","Tamsoft","D3Publisher","August 30, 2001","Unreleased","Unreleased",""
"Hello Kitty no Oshaberi ABC","Atlus","Atlus","October 11, 2001","Unreleased","Unreleased",""
"Hello Kitty no Oshaberi Town","Atlus","Atlus","December 14, 2000","Unreleased","Unreleased",""
"Hello Kitty no Uchi Nioi Deyo","Bandai","Bandai","July 18, 2002","Unreleased","Unreleased",""
"Hello Kitty to Album Nikki o Tsukuri Masho!","Banpresto","Banpresto","March 27, 2003","Unreleased","Unreleased",""
"Hello Kitty Trump","Tamsoft","D3Publisher","October 25, 2001","Unreleased","Unreleased",""
"Hello Kitty: White Present","Hudson Soft","Hudson Soft","December 17, 1998","Unreleased","Unreleased",""
"Herc's Adventures","LucasArts","LucasArts, Virgin Interactive, Bullet Proof Software","June 25, 1998","December 1997","July 31, 1997",""
"Herkules","The Code Monkeys","Phoenix Games","Unreleased","2003","Unreleased",""
"Hermie Hopperhead: Scrap Panic","SCEI","SCEI","September 29, 1995","Unreleased","Unreleased",""
"Heroine Dream","Map Japan","Map Japan","October 10, 1996","Unreleased","Unreleased",""
"Heroine Dream 2","Map Japan","Map Japan","June 18, 1998","Unreleased","Unreleased",""
"Hexamoon Guardians","Increment-P","Increment-P","March 30, 2000","Unreleased","Unreleased",""
"HeXen","Raven Software","GT Interactive, GameBank","March 19, 1998","March 1997","June 30, 1997",""
"Hi-Hou-Ou: Mou Omae Tobakuchi Kikan!!","Lay-Up","Lay-Up","April 25, 1997","Unreleased","Unreleased",""
"Hi-Octane","Bullfrog Productions","Electronic Arts, Electronic Arts Victor","January 13, 1996","December 1995","December 1, 1995",""
"Hidden & Dangerous","Illusion Softworks","Take-Two Interactive","Unreleased","November 23, 2001","Unreleased",""
"High Heat Baseball 2000","Team .366","The 3DO Company","Unreleased","Unreleased","May 12, 1999","[70]"
"High Heat Major League Baseball 2002","The 3DO Company","The 3DO Company","Unreleased","Unreleased","March 14, 2001","[71]"
"Highschool Kimengumi: The Table Hockey","Break","Bandai","December 20, 2001","Unreleased","Unreleased",""
"High School of Blitz","Japan Media Programming","MediaWorks","November 25, 1999","Unreleased","Unreleased",""
"Hikari no Shima: Seven Lithographs in Shining Island","Affect","Affect","November 11, 1999","Unreleased","Unreleased",""
"Hikaru no Go: Heian Gensou Ibunroku","KCEJ","Konami","May 30, 2002","Unreleased","Unreleased",""
"Hikaru no Go: Insei Choujou Kessen","Tenky","Konami","December 19, 2002","Unreleased","Unreleased",""
"Himiko-Den Renge","Chime","Hakuhodo","March 11, 1999","Unreleased","Unreleased",""
"Himitsu Kessha Q","Right Stuff","Right Stuff","July 30, 1998","Unreleased","Unreleased",""
"Himitsu Sentai Metamor V Deluxe","Feycraft","Mycom","October 15, 1998","Unreleased","Unreleased",""
"Hissatsu Pachi-Slot Station","SunSoft","SunSoft","August 20, 1998","Unreleased","Unreleased",""
"Hissatsu Pachi-Slot Station 2","SunSoft","SunSoft","September 28, 1998","Unreleased","Unreleased",""
"Hissatsu Pachi-Slot Station 3","SunSoft","SunSoft","March 4, 2000","Unreleased","Unreleased",""
"Hissatsu Pachi-Slot Station 4","SunSoft","SunSoft","July 27, 2000","Unreleased","Unreleased",""
"Hissatsu Pachi-Slot Station 5","SunSoft","SunSoft","November 16, 2000","Unreleased","Unreleased",""
"Hissatsu Pachi-Slot Station SP","SunSoft","SunSoft","December 16, 1999","Unreleased","Unreleased",""
"Hissatsu Pachi-Slot Station SP 2","SunSoft","SunSoft","September 14, 2000","Unreleased","Unreleased",""
"Hissatsu Pachi-Slot Station SP 3","SunSoft","SunSoft","January 1, 2002","Unreleased","Unreleased",""
"Hissatsu Pachinko Station","SunSoft","SunSoft","September 13, 1996","Unreleased","Unreleased",""
"Hissatsu Pachinko Station 2","SunSoft","SunSoft","December 25, 1997","Unreleased","Unreleased",""
"Hissatsu Pachinko Station 3","SunSoft","SunSoft","December 17, 1998","Unreleased","Unreleased",""
"Hissatsu Pachinko Station 4","SunSoft","SunSoft","March 11, 1999","Unreleased","Unreleased",""
"Hissatsu Pachinko Station 5","SunSoft","SunSoft","June 10, 1999","Unreleased","Unreleased",""
"Hissatsu Pachinko Station 6","SunSoft","SunSoft","July 1, 1999","Unreleased","Unreleased",""
"Hissatsu Pachinko Station 7","SunSoft","SunSoft","November 25, 1999","Unreleased","Unreleased",""
"Hissatsu Pachinko Station 8","SunSoft","SunSoft","March 30, 2000","Unreleased","Unreleased",""
"Hissatsu Pachinko Station 9","SunSoft","SunSoft","June 8, 2000","Unreleased","Unreleased",""
"Hissatsu Pachinko Station 10","SunSoft","SunSoft","October 19, 2000","Unreleased","Unreleased",""
"Hissatsu Pachinko Station Now","SunSoft","SunSoft","September 30, 1999","Unreleased","Unreleased",""
"Hissatsu Pachinko Station Now 2","SunSoft","SunSoft","December 22, 1999","Unreleased","Unreleased",""
"Hissatsu Pachinko Station Now 3","SunSoft","SunSoft","February 3, 2000","Unreleased","Unreleased",""
"Hissatsu Pachinko Station Now 4","SunSoft","SunSoft","July 6, 2000","Unreleased","Unreleased",""
"Hissatsu Pachinko Station Now 5","SunSoft","SunSoft","July 19, 2000","Unreleased","Unreleased",""
"Hissatsu Pachinko Station Now 6","SunSoft","SunSoft","November 16, 2000","Unreleased","Unreleased",""
"Hissatsu Pachinko Station Now 7","SunSoft","SunSoft","December 28, 2000","Unreleased","Unreleased",""
